filename,sentence,sentence_order,argument_type,rationale
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"And I think that that's therefore a very logical grounds to put someone in prison longer, if you can't trust that person to not keep stealing, to not keep hurting people, then they should be imprisoned for a longer amount of time.",23,C,"Frames the argument as a reasoned and cautious conclusion, not absolute."
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"And you're by isolating this person from the rest of the population, it means that they can't steal from someone a fourth time or a fifth time.",24,W/Q,Provides logical justification for imprisonment  to protect the public.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"So, three strikes laws help people doing that, and they make sure that the people are actually protected better.",25,W/Q,Summarizes the societal benefit  protecting potential victims.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"And for all those reasons, we should definitely keep three strikes laws.",26,C,"Final summarizing remark, indicating the conclusion is drawn from multiple justifications."
DJ_2081_nuclear-power_con_opening_TL.trs.txt,We should not further exploit nuclear power and we shouldn't exploit it further,1,C,Main assertion of the speaker  recommending an alternative to nuclear power.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"because, while nuclear power is arguably in at some cases, better than some of our current energy uses, like fossil fuels, I don't think that it's better than green energy as far as the comparative is concerned, and I think that further exploitation, especially if it's going to happen right now, should be largely focused on green energy, and there's necessarily a trade off in terms of resources for investment",2,C,"Begins reasoning by acknowledging nuclear power's potential, introducing a nuanced argument."
DJ_2081_nuclear-power_con_opening_TL.trs.txt,If you were to invest in nuclear power that will come at the expense of green energy.,3,W/Q,"Connects the decision to invest in nuclear to the problems it causes, justifying the claim."
DJ_2081_nuclear-power_con_opening_TL.trs.txt,So let's talk about those two things.,4,W/Q,Discourse structure signal  not a component of Toulmin model.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"First, why green energy is better than nuclear power and secondarily, why there's going to be a trade off between the two that's bad.",5,OTH,"Preview of argument structure, not an argumentative unit itself."
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"So first, why is green energy better?",6,OTH,Repetition of structural question; rhetorical.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,So I think that first and foremost it's safer.,7,C,Presents the sub-claim that green energy is safer  part of the justification.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,Green energy they first and most obviously can't be weaponized.,8,G,Provides a supporting reason for the claim that green energy is safer.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,You're not going to be able to weaponize the wind or solar energy.,9,W/Q,Illustrates the previous point with an example  a humorous but logical reinforcement.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"So whenever states try to come up with excuses like oh well we need to have this nuclear factory for peaceful purposes or whatever, well now that's not an excuse anymore because you don't really need nuclear power because green energy could be a thing.",10,G,Explains that security and proliferation concerns are often masked by peaceful energy claims.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"But additional it is also risks of meltdowns and while meltdowns aren't all that common in the status quo and not they don't happen all that often, there's two problems.",11,W/Q,Presents another reason  the risk of accidents  for preferring green energy.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"First, when they do happen they're quite severe.",12,OTH,Expands on the previous ground by emphasizing the severity of rare accidents.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"So if you think that, for example, like things like like- I think it's like six mile island or whatever in america, or chernobyl in like russia or ukraine, you look at the fukushima disaster in japan, these things have made entire areas essentially unlivable and because of global radiation spread through things like the wind.",13,C,Provides specific historical examples to support the claim about severity.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"whenever there's like nuclear fallout from a meltdown, these things have big consequences.",14,OTH,"Continues the explanation of consequences  health, safety, and long-term impact."
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"but additionally, also when you're upping the scale of production, that's also going to add in more risk.",15,W/Q,Argues that increasing reliance increases the magnitude of risks  supports main claim.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"Especially now when you have a lot more environmental volatility, in a global warming era, when there's a lot more natural dis- asters.",16,OTH,Justifies increased concern due to changing climate/environmental conditions.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"but I think that, additionally, it's also going to be, in the long term, better from a an environmental perspective, in a cost perspective, because there's always going to be some kind of green energy alternative, like there's probably very few places on earth that don't either have running water that you can use for hydroelectric power, wind that you can use for wind energy or sunlight.",17,C,Introduces a new sub-claim  operational feasibility concerns with nuclear.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"If a place doesn't have water, doesn't have wind, doesn't have like a lot of sunlight, it's very difficult to find a place on earth that meets all of these criteria.",18,G,Introduces a condition to explain limitations or mismatches for energy forms.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"so, or example, maybe massachusetts isn't that sunny, but it's very windy.",19,W/Q,Specific example supporting previous ground.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"maybe somewhere like texas or israel is a lot more sunny, even if it doesn't have as much, say, like running water or things like that.",20,W/Q,Counter-example reinforcing regional variation in energy feasibility.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"So there is those arguments but I also think that as far as cost is concerned uranium is you have to set up the factory, you have to put in a whole lot of cautions on the factories for like nuclear factories, you have to mine uranium.",21,W/Q,Introduces scarcity of fuel as a practical issue against nuclear power.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,Uranium is a whole lot rare and more expensive.,22,OTH,Directly supports the previous statement with a fact.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,So all of these things are also on the cost terms if you're going to exploit something or invest in something more on the cost terms it's probably going to be better to and cheaper and more versatile in the long run to use green energy.,23,W/Q,Presents a conclusion on cost-effectiveness  another dimension of the main argument.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"And this is a problem because, in terms of absolute, absolute terms, there's going to be limited resources as far as what you invest in, so the government just isn't going to be able to invest in everything that you want to.",24,G,Connects cost concern to policy choice  favors green energy.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"but also, on, like, the political level, there's always going to be political checks that you are going to make, so that the government's never going to be able to spend all the money on things.",25,W/Q,Adds political feasibility as another reason to oppose nuclear energy.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,So if you're further exploiting nuclear power as your energy source once you see your energy needs are satiated you're probably not going to be is likely to want to invest even more money into other things like green energy when they're not seen as necessary because you already have nuclear power.,26,G,Suggests that continued use of nuclear is motivated by poor justifications  counters common defenses.
DJ_2081_nuclear-power_con_opening_TL.trs.txt,"So I think that for all those reasons, we should not further exploit nuclear power.",27,C,Summarizes and justifies the stance by referencing accumulated arguments.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"We absolutely should not ban gambling because it won't work first of all, and secondarily, there's nothing really wrong with gambling.",1,G,Main assertion  argues against banning gambling.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"It should be fine, it should be legal if people want to do it.",2,OTH,Reinforces the main claim by appealing to personal freedom.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"So, let's start by talking about why banning gambling will not work at all.",3,W/Q,Discourse transition  no argumentative function.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"So, the point of banning something, presumably, is you want to deter people from doing it because you think it has some kind of harm or problem.",4,G,Explains the rationale behind banning to set up counter-argument.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"So, this has an assumption and the assumption is that the ban itself is actually going to deter people from the activity in the first place, that is gambling.",5,W/Q,"Unpacks the logic behind policy efficacy, laying groundwork for rebuttal."
DJ_221_ban-gambling_con_opening_YBA.trs.txt,So that's not going to happen.,6,W/Q,Counters the assumption that banning gambling will work.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,and it's not going to happen because people have been gambling for thousands of years.,7,G,Provides historical evidence that banning won't be effective.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,it's a pretty ingrained part of our culture.,8,OTH,Culturally rooted practice supports why banning won't deter it.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,we have entire cities dedicated to it.,9,OTH,Gives a concrete example of how entrenched gambling is.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"you know like there's gambling in las vegas, obviously.",10,OTH,Continues example-based reinforcement of cultural acceptance.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,I'm pretty sure there's a lot of gambling in places like eilat in israel as well.,11,OTH,Adds another location-based example to reinforce pervasiveness.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,there's all kinds of like.,12,OTH,Incomplete/fragmented  does not fulfill a Toulmin role.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,a lot of cities have these as their industries and things like that.,13,G,Economic argument against banning  impact on livelihoods.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,So there's problems with this.,14,W/Q,Meta-statement to introduce critique  not part of Toulmin elements.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"So, first and foremost a problem is that you're going to see a whole whole lot of resistance from the people who are involved in the gambling industry, a whole lot of resistance about the cities and livelihoods that are being destroyed, and a whole lot of resistance to all of these kinds of policies and bans in the first place.",15,W/Q,Economic consequence supports the argument against banning.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"But second and more importantly, it's completely unenforceable, because you can just gamble on the internet in.",16,G,Introduces a major claim  banning gambling is impractical.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"there's nothing really the government can do to regulate it, because oftentimes the websites can be set up in like different countries, or you can, even if, like the websites are under like any kind of certain set of laws.",17,G,Supports previous claim about unenforceability.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"you're there's always ways that you can use the internet to avoid government detection and I highly doubt that the government is going to dedicate like legit military and hacking and all kinds of technical and physical and monetary resources to really cracking down gambling, and if it wanted to do that, it would cost like billions, if not probably like like",18,W/Q,Provides real-world methods of evading restrictions.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"so many billions of dollars that it would be a complete waste of time, since people are largely going to do it on the internet anyway",19,W/Q,Adds cost-based support to the enforceability argument.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"And that's obviously a problem because first and foremost, you're not making the money off of gambling anymore, you can't tax gambling, you can't profit off of it, so a lot of money in revenue is going away.",20,G,"Connects cost to inefficiency, furthering opposition to banning."
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"Additionally when you ban something then it becomes a part of a black market, it's more likely to be unsafe, you're more likely going to have like crime lords and people like that presiding over the factors.",21,W/Q,Provides principle: banning often creates underground harm.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"And additionally you also can't have things like consumer protection laws in place, so you can't really enforce things to make sure that like, obviously gambling is random and to a large extent and things like that, but enforcement to make sure that like you aren't being as a gambler like completely screwed over by the people like the house per se, so that's important as well.",22,W/Q,Shows policy downsides of banning  loss of control/revenue.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"So gambling is probably going to happen anyway, might as well happen safer, more profitably, and more effectively if you just regulate it rather than ban it.",23,W/Q,Counters banning by asserting inevitability.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"But I also think that there's nothing wrong with th- gambling and it's rather immoral to ban it in the first place, because keep in mind that when people are gambling, they're usually gambling with their own money.",24,G,Asserts moral neutrality  new sub-claim.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"if they're gambling with someone else's money, we call them wall street bankers.",25,W/Q,"Clarifies acceptable behavior  gambling isn't the problem, fraud is."
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"so they're usually gambling with their own money, not other people's.",26,W/Q,Adds factual support  most people gamble their own earnings.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,so that's money that you've earned.,27,W/Q,Reemphasizes individual ownership over money as justification.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,that's money that you can do what you want with.,28,OTH,Reinforces the principle of personal freedom.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"you should have the right to spend your money in the way you want, because you work for it.",29,G,Explicit rights-based justification for legal gambling.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"But additionally, gambling doesn't harm anyone.",30,C,New claim asserting non-harmful nature of gambling.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"it's not like I- gambling doesn't really harm people like any kind of vague things like crime or whatever l- like maybe vaguely associated with gambling is problematic, that's usually only because the other things, like drugs or prostitution or whatever, are illegal in the first place.",31,G,Acknowledges limited harm  softens absolute claim.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"maybe that should be illegal too, but also keep in mind that, like the black market argument that I made about how that's not going to be solved anyway.",32,W/Q,Conversational aside  not directly Toulmin-related.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"so, other than maybe like the vague facilitation of crime, there's no real reason why gambling itself is all that bad, why you shouldn't be able to spend your money that you earned that way, if you want.",33,W/Q,Offers a slight exception to the non-harm claim.
DJ_221_ban-gambling_con_opening_YBA.trs.txt,"So for those reasons, we should not ban gambling.",34,C,Summarizes the reasons to support the final conclusion.
DJ_2610_arms_con_opening_SSH.trs.txt,We should not abolish the right to keep and bear firearms because guns can be important for self defense and also sport for some people.,1,C,Central thesis  asserts opposition to abolishing gun rights.
DJ_2610_arms_con_opening_SSH.trs.txt,So let's start by talking about what we would support.,2,W/Q,Transitional statement  not an argument component.
DJ_2610_arms_con_opening_SSH.trs.txt,Because abolishing the right to keep and have firearms would would mean that pretty much all guns can be banned and regulated.,3,G,Provides justification for why the claim is reasonable.
DJ_2610_arms_con_opening_SSH.trs.txt,"And I think that there's a much more reasonable common ground, where you can ban things like automatic and semi automatic weapons, you can ban things like assault rifles.",4,C,Introduces an alternative claim  favors moderation over abolition.
DJ_2610_arms_con_opening_SSH.trs.txt,Our you can also regulate th- access much more strictly.,5,W/Q,Supports the alternative claim with a possible solution.
DJ_2610_arms_con_opening_SSH.trs.txt,"You can have a universal background checks, you can maybe like tax guns, require gun insurance, make like all kinds of restrictions and regulations that are put in place that will I make it so that guns are less likely to fall into the wrong people's hands and that guns are less likely to be abused and they are more likely to be safe.",6,W/Q,Provides concrete examples to support the previous grounds.
DJ_2610_arms_con_opening_SSH.trs.txt,But that doesn't mean that guns are all inherently bad.,7,OTH,Counters a likely assumption that guns themselves are the problem.
DJ_2610_arms_con_opening_SSH.trs.txt,So there's a couple of things here: so the first of which is that there is a self defense concern that is here.,8,W/Q,Structural preview  no argumentative content.
DJ_2610_arms_con_opening_SSH.trs.txt,"Guns are incredibly prominent in america, and regardless of whether or not you legally allow people to have guns, there's already millions and millions of guns that are already in existence.",9,G,Offers factual basis to support the impracticality of abolition.
DJ_2610_arms_con_opening_SSH.trs.txt,"So in order to make sure that people are able to protect themselves possibly, able to use self defense, you want at least some people who are trained to have guns besides police officers who may not be able to get there in time.",10,W/Q,Explains why gun access is necessary  links self-defense to the claim.
DJ_2610_arms_con_opening_SSH.trs.txt,"Because if there's a civilian has a gun who is being attacked or sees somebody being attacked, then maybe they're able to do something about it.",11,G,Supports the warrant by highlighting responsible gun ownership.
DJ_2610_arms_con_opening_SSH.trs.txt,That could be like a really good legitimate and valid use for a gun.,12,OTH,Reinforces the benefit of armed self-defense.
DJ_2610_arms_con_opening_SSH.trs.txt,So guns can have like they can definitely serve a purpose.,13,W/Q,Sub-claim about guns being useful for protection.
DJ_2610_arms_con_opening_SSH.trs.txt,But beyond that I also think that guns can be useful for sport.,14,W/Q,Introduces another sub-claim  recreational value of guns.
DJ_2610_arms_con_opening_SSH.trs.txt,A whole lot of people compete in things.,15,G,Establishes how common recreational gun use is.
DJ_2610_arms_con_opening_SSH.trs.txt,"Like whether it's like rifling or target practice, you just go to a shooting range for the fun of it, or maybe like deer are over populating some area so you're able to hunt some deer, or something like that.",16,W/Q,Examples that reinforce the recreational grounds.
DJ_2610_arms_con_opening_SSH.trs.txt,Things that already are legitimate in allowable and happen right now.,17,OTH,Adds that these activities are legally and socially accepted.
DJ_2610_arms_con_opening_SSH.trs.txt,"This is like an important thing that some people do, that some people have fun with and that's a choice some people make.",18,W/Q,Supports recreational claim through appeal to freedom and interest.
DJ_2610_arms_con_opening_SSH.trs.txt,And it doesn't really hurt anyone.,19,W/Q,Implies that non-harmful behavior should not be restricted.
DJ_2610_arms_con_opening_SSH.trs.txt,It doesn't really hurt anyone that people go to like a shooting range or hunt some overpopulated deer or something like that.,20,W/Q,Specific example supporting the non-harm rationale.
DJ_2610_arms_con_opening_SSH.trs.txt,These are like perfectly legitimate pastimes.,21,C,Reasserts recreational gun use as acceptable.
DJ_2610_arms_con_opening_SSH.trs.txt,"And in like a liberal society, in a democratic society you should make it so that people are able to like just do what they wanna do.",22,W/Q,Connects personal liberty with the right to own/use guns.
DJ_2610_arms_con_opening_SSH.trs.txt,"But the final thing, the final argument is that this is this right has really important historical roots in a check against in in a check against oppression in a lot of ways.",23,OTH,Structural transition  not an argument component.
DJ_2610_arms_con_opening_SSH.trs.txt,The government has like a whole lot of ability to use force and it can do a lot of stuff to you that could necessarily be bad.,24,G,Raises concern about unchecked government power.
DJ_2610_arms_con_opening_SSH.trs.txt,"So the ability of people to like keep firearms, keep their own independent sources of power and weaponry, if they need to, and the whatever, can be something that could be useful like for a variety of reasons in the instance that there's oppression.",25,W/Q,Sub-claim asserting that arms are a check on state power.
DJ_2610_arms_con_opening_SSH.trs.txt,"This debate isn't just taking place in the united states, it's abolishing rights to have guns wherever these guns may exist it seems.",26,OTH,"Suggests the issue is globally relevant, broadening appeal."
DJ_2610_arms_con_opening_SSH.trs.txt,"So in circumstances where maybe you need it for safety not just from other individuals, but from even state or more organized actors, guns can obviously serve a role and a purpose.",27,W/Q,Justifies the claim by showing the logic of needing defense against tyranny.
DJ_2610_arms_con_opening_SSH.trs.txt,So for all those reasons don't abolish rights to have firearms.,28,W/Q,Summarizes the multi-pronged argument and asserts final stance.
DJ_3198_self-defense_con_opening_WS.trs.txt,We should not limit the right of self defense.,1,C,Central assertion  opposing any restriction on self-defense.
DJ_3198_self-defense_con_opening_WS.trs.txt,And we shouldn't limit the right of self defense because other people and most certainly not the state should be able to tell you how what is the best way and to keep you safe.,2,C,Reemphasizes and narrows the scope of the main claim.
DJ_3198_self-defense_con_opening_WS.trs.txt,What is the most effective way when your life is in danger to secure your life?,3,OTH,Rhetorical question justifying the need for unrestricted self-defense.
DJ_3198_self-defense_con_opening_WS.trs.txt,Obviously a freedom that you have.,4,OTH,Reinforces that self-defense is a basic right.
DJ_3198_self-defense_con_opening_WS.trs.txt,"So here's the problem: when we talk about things when we talk more like precisely about what a limiting to the right of defense would look like, it would mean maybe things like a duty to flee, so like you try to escape first, duties to deescalate, maybe shooting to like hinder rather than kill, things like this.",5,W/Q,Transition sentence introducing counterpoints  not a Toulmin component.
